Date,Open,High,Low,Close,Volume,Open_weekly,High_weekly,Low_weekly,Close_weekly,Volume_weekly
2007-10-30,2058.780029,2066.0,2037.75,2052.370117,402200,1901.150024,2028.069946,1875.22998,2028.060059,2099300.0
2007-10-31,2052.600098,2065.530029,2043.930054,2064.850098,365400,1901.150024,2028.069946,1875.22998,2028.060059,2099300.0
2007-11-01,2085.330078,2085.449951,2048.679932,2063.139893,402000,1901.150024,2028.069946,1875.22998,2028.060059,2099300.0
2007-11-02,2014.650024,2049.620117,2014.650024,2019.339966,388400,1901.150024,2028.069946,1875.22998,2028.060059,2099300.0
2007-11-05,2025.040039,2027.209961,1992.23999,2015.76001,300200,2051.620117,2085.449951,2014.650024,2019.339966,2039200.0
2007-11-06,2023.410034,2055.530029,2020.23999,2054.23999,312200,2051.620117,2085.449951,2014.650024,2019.339966,2039200.0
2007-11-07,2074.179932,2085.030029,2043.189941,2043.189941,339600,2051.620117,2085.449951,2014.650024,2019.339966,2039200.0
2007-11-08,2009.640015,2022.609985,1971.949951,1979.560059,330600,2051.620117,2085.449951,2014.650024,2019.339966,2039200.0
2007-11-09,2001.109985,2017.369995,1968.859985,1990.469971,366600,2051.620117,2085.449951,2014.650024,2019.339966,2039200.0
2007-11-12,1957.780029,1957.780029,1901.869995,1923.420044,312700,2025.040039,2085.030029,1968.859985,1990.469971,1649200.0
2007-11-13,1928.780029,1935.930054,1887.76001,1932.890015,394900,2025.040039,2085.030029,1968.859985,1990.469971,1649200.0
2007-11-14,1982.930054,1984.839966,1956.900024,1972.579956,362100,2025.040039,2085.030029,1968.859985,1990.469971,1649200.0
2007-11-15,1970.130005,1985.380005,1932.030029,1947.73999,367700,2025.040039,2085.030029,1968.859985,1990.469971,1649200.0
2007-11-16,1916.880005,1928.930054,1890.25,1926.199951,304300,2025.040039,2085.030029,1968.859985,1990.469971,1649200.0
2007-11-19,1936.380005,1936.5,1892.869995,1893.469971,292300,1957.780029,1985.380005,1887.76001,1926.199951,1741700.0
2007-11-20,1853.410034,1875.459961,1819.180054,1872.23999,331800,1957.780029,1985.380005,1887.76001,1926.199951,1741700.0
2007-11-21,1865.910034,1875.97998,1803.77002,1806.98999,307500,1957.780029,1985.380005,1887.76001,1926.199951,1741700.0
2007-11-22,1790.25,1815.329956,1771.390015,1799.02002,306200,1957.780029,1985.380005,1887.76001,1926.199951,1741700.0
2007-11-23,1806.02002,1820.609985,1745.26001,1772.880005,326700,1957.780029,1985.380005,1887.76001,1926.199951,1741700.0
2007-11-26,1803.76001,1855.329956,1795.0,1855.329956,290900,1936.380005,1936.5,1745.26001,1772.880005,1564500.0
2007-11-27,1813.089966,1865.689941,1787.949951,1859.790039,338300,1936.380005,1936.5,1745.26001,1772.880005,1564500.0
2007-11-28,1881.859985,1883.98999,1833.800049,1834.689941,324800,1936.380005,1936.5,1745.26001,1772.880005,1564500.0
