Date,Open,High,Low,Close,Volume
2017-07-14,5246.200195,5246.779785,5215.97998,5235.310059,60089700
2017-07-17,5238.410156,5246.22998,5214.310059,5230.169922,53978000
2017-07-18,5219.669922,5233.149902,5164.629883,5173.27002,75790200
2017-07-19,5196.129883,5218.990234,5174.290039,5216.069824,69296400
2017-07-20,5239.459961,5251.25,5177.72998,5199.220215,78772300
2017-07-21,5188.919922,5208.850098,5095.120117,5117.660156,106403800
2017-07-24,5133.680176,5143.47998,5094.359863,5127.700195,72053200
2017-07-25,5130.529785,5193.189941,5130.529785,5161.080078,91159700
2017-07-26,5162.240234,5208.330078,5158.790039,5190.169922,79110400
2017-07-27,5181.149902,5218.560059,5172.779785,5186.950195,99460800
2017-07-28,5144.029785,5144.029785,5105.720215,5131.390137,99859600
2017-07-31,5127.629883,5148.149902,5092.140137,5093.77002,87612000
2017-08-01,5116.899902,5148.490234,5087.379883,5127.029785,75327900
2017-08-02,5122.379883,5135.140137,5094.640137,5107.25,82005400
2017-08-03,5097.140137,5142.910156,5084.200195,5130.490234,71167300
2017-08-04,5122.399902,5216.399902,5118.609863,5203.439941,78567600
2017-08-07,5210.72998,5220.589844,5195.259766,5207.890137,63788300
2017-08-08,5200.200195,5231.649902,5191.379883,5218.890137,62058600
2017-08-09,5182.049805,5183.370117,5122.5,5145.700195,84579800
2017-08-10,5140.990234,5148.470215,5096.189941,5115.22998,71793700
2017-08-11,5081.919922,5086.060059,5046.75,5060.919922,86172400
2017-08-14,5082.870117,5136.189941,5080.009766,5121.669922,57283400
2017-08-15,5141.02002,5158.5,5123.970215,5140.25,48077600
2017-08-16,5159.100098,5200.160156,5159.100098,5176.609863,55940500
2017-08-17,5164.540039,5180.259766,5137.419922,5146.850098,64545000
2017-08-18,5103.470215,5117.040039,5074.450195,5114.149902,73461700
2017-08-21,5091.310059,5105.939941,5066.189941,5087.589844,59101700
2017-08-22,5112.129883,5137.540039,5101.680176,5131.859863,57269900
2017-08-23,5125.029785,5149.080078,5105.549805,5115.390137,58660400
2017-08-24,5127.709961,5136.299805,5111.859863,5113.129883,55558700
2017-08-25,5121.47998,5141.049805,5098.509766,5104.330078,57203600
2017-08-28,5076.470215,5106.25,5066.009766,5079.75,37172200
2017-08-29,5035.379883,5041.890137,4995.069824,5031.919922,83662800
2017-08-30,5063.240234,5069.120117,5046.069824,5056.339844,61690100
2017-08-31,5083.120117,5104.779785,5068.439941,5085.589844,108192000
2017-09-01,5117.189941,5138.419922,5115.950195,5123.259766,75774600
2017-09-04,5088.279785,5114.700195,5088.279785,5103.970215,44171300
2017-09-05,5107.189941,5125.799805,5081.080078,5086.560059,72150200
2017-09-06,5054.319824,5114.290039,5050.089844,5101.410156,173147800
2017-09-07,5118.839844,5148.060059,5103.149902,5114.620117,84862300
2017-09-08,5099.310059,5117.890137,5086.509766,5113.490234,84096300
2017-09-11,5145.779785,5180.25,5145.779785,5176.709961,76915100
2017-09-12,5192.75,5219.080078,5184.470215,5209.009766,79355100
2017-09-13,5205.209961,5227.0,5200.209961,5217.589844,86353100
2017-09-14,5205.180176,5233.540039,5201.649902,5225.200195,79396000
2017-09-15,5220.890137,5237.169922,5201.970215,5213.910156,259691200
2017-09-18,5231.990234,5239.879883,5221.560059,5229.319824,61537100
2017-09-19,5223.290039,5238.290039,5219.709961,5237.439941,66921900
2017-09-20,5230.509766,5248.790039,5230.02002,5241.660156,65750000
2017-09-21,5259.02002,5275.419922,5257.439941,5267.290039,84829300
2017-09-22,5277.390137,5295.930176,5271.879883,5281.290039,71447900
2017-09-25,5267.990234,5286.830078,5260.459961,5267.129883,64221800
2017-09-26,5263.950195,5274.580078,5255.109863,5268.759766,70839200
2017-09-27,5281.299805,5289.890137,5272.319824,5281.959961,74049900
2017-09-28,5286.049805,5295.27002,5279.100098,5293.77002,67809900
2017-09-29,5297.419922,5329.810059,5284.740234,5329.810059,85230900
2017-10-02,5332.919922,5350.439941,5326.660156,5350.439941,68575600
2017-10-03,5362.75,5370.890137,5355.299805,5367.410156,58748500
2017-10-04,5369.240234,5369.450195,5345.200195,5363.22998,80019900
2017-10-05,5355.910156,5381.740234,5355.910156,5379.209961,70314300
2017-10-06,5378.069824,5378.069824,5350.259766,5359.899902,66128500
2017-10-09,5364.810059,5378.509766,5351.680176,5365.830078,55296900
2017-10-10,5364.160156,5372.27002,5351.790039,5363.649902,59718000
2017-10-11,5367.379883,5367.379883,5338.140137,5362.410156,71441700
2017-10-12,5358.419922,5361.919922,5342.689941,5360.810059,56447100
2017-10-13,5362.72998,5371.649902,5344.959961,5351.740234,73942000
2017-10-16,5362.529785,5371.620117,5347.609863,5362.879883,63076900
2017-10-17,5372.649902,5376.689941,5347.549805,5361.370117,64933200
2017-10-18,5368.089844,5394.22998,5359.680176,5383.810059,64165900
2017-10-19,5371.0,5377.810059,5343.0,5368.290039,86686600
2017-10-20,5389.47998,5392.089844,5368.209961,5372.379883,92307000
2017-10-23,5377.450195,5408.740234,5367.649902,5386.810059,63702000
2017-10-24,5377.859863,5413.029785,5377.859863,5394.799805,74560600
2017-10-25,5399.609863,5416.540039,5364.160156,5374.890137,80466800
2017-10-26,5383.439941,5459.609863,5375.259766,5455.399902,90950700
2017-10-27,5470.339844,5513.529785,5470.240234,5494.129883,95585200
2017-10-30,5488.330078,5507.560059,5487.290039,5493.629883,67428800
2017-10-31,5492.629883,5511.25,5489.410156,5503.290039,75164700
2017-11-01,5524.379883,5536.399902,5514.290039,5514.290039,75303700
2017-11-02,5510.959961,5520.810059,5486.240234,5510.5,70253200
2017-11-03,5513.470215,5521.919922,5498.290039,5517.970215,75125000
2017-11-06,5507.069824,5513.310059,5492.899902,5507.25,70213800
2017-11-07,5521.75,5525.549805,5475.919922,5480.640137,78339100
2017-11-08,5487.529785,5496.080078,5452.200195,5471.430176,92596200
2017-11-09,5470.180176,5479.700195,5401.430176,5407.75,98897900
2017-11-10,5405.549805,5415.879883,5375.120117,5380.720215,84901400
2017-11-13,5382.649902,5384.759766,5301.02002,5341.629883,84572600
2017-11-14,5345.299805,5365.640137,5301.569824,5315.580078,90263700
2017-11-15,5301.140137,5312.390137,5267.220215,5301.25,94175400
2017-11-16,5325.410156,5345.22998,5312.870117,5336.390137,74296300
2017-11-17,5335.850098,5350.25,5304.350098,5319.169922,88650100
2017-11-20,5311.279785,5348.149902,5302.850098,5340.450195,66757000
2017-11-21,5335.839844,5385.859863,5326.859863,5366.149902,74777300
2017-11-22,5364.609863,5391.009766,5352.759766,5352.759766,67526600
2017-11-23,5339.759766,5391.890137,5330.319824,5379.540039,55368500
2017-11-24,5374.399902,5419.879883,5374.399902,5390.459961,54357200
2017-11-27,5378.959961,5408.470215,5359.390137,5360.089844,62120700
2017-11-28,5366.379883,5398.189941,5357.279785,5390.47998,65960000
2017-11-29,5416.490234,5441.689941,5394.890137,5398.049805,92621500
2017-11-30,5402.660156,5429.649902,5372.589844,5372.790039,128032500
2017-12-01,5374.129883,5378.319824,5299.060059,5316.890137,99908800
2017-12-04,5363.290039,5400.100098,5350.589844,5389.290039,81907500
2017-12-05,5382.22998,5392.47998,5349.790039,5375.529785,77844600
2017-12-06,5333.319824,5385.529785,5316.549805,5374.350098,78019500
2017-12-07,5374.569824,5396.310059,5365.75,5383.859863,81173900
2017-12-08,5411.910156,5425.75,5393.560059,5399.089844,90629200
2017-12-11,5411.709961,5411.709961,5382.5,5386.830078,68771400
2017-12-12,5394.930176,5427.189941,5359.759766,5427.189941,80840200
