Date,Open,High,Low,Close,Volume,Index
2018-10-05,2349.639893,2352.110107,2250.98999,2267.52002,1157800,^KS11
2018-10-12,2258.72998,2273.709961,2129.129883,2161.850098,1284800,^KS11
2018-10-19,2155.340088,2182.77002,2117.620117,2156.26001,1430500,^KS11
2018-10-26,2143.080078,2163.209961,2008.859985,2027.150024,1907100,^KS11
2018-11-02,2026.680054,2096.629883,1985.949951,2096.0,1957700,^KS11
2018-11-09,2079.810059,2120.879883,2052.669922,2086.090088,1788400,^KS11
2018-11-16,2065.919922,2103.110107,2032.050049,2092.399902,1670500,^KS11
2018-11-23,2096.129883,2111.389893,2047.959961,2057.47998,1292500,^KS11
2018-11-30,2060.169922,2136.73999,2060.169922,2096.860107,1511600,^KS11
2018-12-07,2127.780029,2136.639893,2064.0,2075.76001,2345800,^KS11
2018-12-14,2048.449951,2104.429932,2043.209961,2069.379883,1903200,^KS11
2018-12-21,2071.209961,2080.649902,2047.52002,2061.48999,2025300,^KS11
2018-12-28,2050.379883,2059.939941,2014.280029,2041.040039,1357500,^KS11
2019-01-04,2050.550049,2053.449951,1984.530029,2010.25,1163400,^KS11
2019-01-11,2034.23999,2076.98999,2023.589966,2075.570068,1987200,^KS11
2019-01-18,2070.48999,2124.5,2059.459961,2124.280029,2305100,^KS11
2019-01-25,2133.870117,2178.01001,2106.73999,2177.72998,2049700,^KS11
2019-02-01,2184.409912,2222.879883,2162.530029,2203.459961,2429200,^KS11
2019-02-08,2215.77002,2215.790039,2171.959961,2177.050049,818800,^KS11
2019-02-15,2180.540039,2225.850098,2167.360107,2196.090088,2232000,^KS11
2019-02-22,2207.360107,2234.679932,2193.340088,2230.5,1869600,^KS11
2019-03-01,2241.129883,2241.76001,2195.439941,2195.439941,1482700,^KS11
2019-03-08,2210.969971,2216.02002,2137.439941,2137.439941,1621100,^KS11
2019-03-15,2140.290039,2181.77002,2125.540039,2176.110107,1641100,^KS11
2019-03-22,2179.689941,2200.320068,2152.209961,2186.949951,1571600,^KS11
2019-03-29,2158.800049,2159.25,2120.929932,2140.669922,1624200,^KS11
2019-04-05,2153.310059,2216.149902,2153.310059,2209.610107,1827600,^KS11
2019-04-12,2217.659912,2233.449951,2202.48999,2233.449951,2014000,^KS11
2019-04-19,2242.310059,2252.050049,2210.429932,2216.149902,2524400,^KS11
2019-04-26,2218.5,2229.75,2168.149902,2179.310059,2561600,^KS11
2019-05-03,2183.409912,2217.030029,2181.820068,2196.320068,1749200,^KS11
2019-05-10,2172.389893,2179.51001,2090.389893,2108.040039,2398700,^KS11
2019-05-17,2091.800049,2101.090088,2053.790039,2055.800049,3062400,^KS11
2019-05-24,2066.530029,2077.100098,2035.97998,2045.310059,2667000,^KS11
2019-05-31,2044.25,2058.419922,2016.25,2041.73999,2128100,^KS11
2019-06-07,2031.030029,2086.48999,2029.170044,2072.330078,1571700,^KS11
2019-06-14,2087.370117,2118.889893,2075.51001,2095.409912,2728600,^KS11
2019-06-21,2091.709961,2132.679932,2087.25,2125.620117,3724800,^KS11
2019-06-28,2130.320068,2141.27002,2115.110107,2130.620117,3231700,^KS11
2019-07-05,2147.23999,2147.23999,2088.969971,2110.590088,2302100,^KS11
2019-07-12,2091.909912,2092.540039,2052.030029,2086.659912,2092400,^KS11
2019-07-19,2083.389893,2096.72998,2061.330078,2094.360107,2749400,^KS11
2019-07-26,2090.350098,2106.389893,2054.639893,2066.26001,3019800,^KS11
2019-08-02,2059.129883,2063.129883,1987.119995,1998.130005,2645300,^KS11
2019-08-09,1985.930054,1987.640015,1891.810059,1937.75,3571500,^KS11
2019-08-16,1941.530029,1952.219971,1911.719971,1927.170044,2208400,^KS11
2019-08-23,1936.640015,1971.119995,1931.439941,1948.300049,2152900,^KS11
2019-08-30,1915.339966,1971.209961,1909.920044,1967.790039,1639000,^KS11
2019-09-06,1961.189941,2017.199951,1958.589966,2009.130005,1825500,^KS11
2019-09-13,2013.380005,2050.800049,2013.280029,2049.199951,1445300,^KS11
2019-09-20,2056.26001,2092.370117,2044.800049,2091.52002,2697500,^KS11
2019-09-27,2087.699951,2101.629883,2044.75,2049.929932,2324800,^KS11
2019-10-04,2045.77002,2077.47998,2020.689941,2020.689941,1534300,^KS11
2019-10-11,2031.530029,2053.939941,2010.900024,2044.609985,1586600,^KS11
2019-10-18,2068.129883,2090.01001,2057.889893,2060.689941,2331100,^KS11
2019-10-25,2067.969971,2093.810059,2059.330078,2087.889893,2256100,^KS11
2019-11-01,2096.669922,2105.169922,2075.540039,2100.199951,1922100,^KS11
2019-11-08,2111.320068,2156.22998,2111.320068,2137.22998,2286800,^KS11
2019-11-15,2139.070068,2165.02002,2118.669922,2162.179932,2969400,^KS11
2019-11-22,2161.889893,2165.889893,2088.189941,2101.959961,2996700,^KS11
2019-11-29,2117.139893,2139.639893,2085.100098,2087.959961,2066600,^KS11
2019-12-06,2097.550049,2103.870117,2053.560059,2081.850098,2094700,^KS11
2019-12-13,2091.939941,2170.25,2080.159912,2170.25,2686500,^KS11
2019-12-20,2168.050049,2206.820068,2166.290039,2204.179932,2857500,^KS11
2019-12-27,2208.219971,2215.550049,2177.399902,2204.209961,2133500,^KS11
2020-01-03,2202.620117,2208.040039,2165.389893,2176.459961,1542700,^KS11
2020-01-10,2154.969971,2206.919922,2137.719971,2206.389893,3261800,^KS11
2020-01-17,2204.48999,2268.709961,2204.48999,2250.570068,3459500,^KS11
2020-01-24,2261.399902,2277.22998,2235.129883,2246.129883,2433900,^KS11
2020-01-31,2192.219971,2199.929932,2119.01001,2119.01001,2814000,^KS11
2020-02-07,2086.610107,2229.98999,2082.73999,2211.949951,3530900,^KS11
2020-02-14,2185.629883,2255.48999,2180.51001,2243.590088,3004000,^KS11
2020-02-21,2243.070068,2250.050049,2160.280029,2162.840088,2864500,^KS11
2020-02-28,2114.040039,2120.060059,1980.819946,1987.01001,4559200,^KS11
2020-03-06,1997.030029,2089.080078,1969.339966,2040.219971,3290900,^KS11
2020-03-13,1981.02002,1989.5,1680.599976,1771.439941,3870800,^KS11
2020-03-20,1805.430054,1805.430054,1439.430054,1566.150024,3854500,^KS11
2020-03-27,1474.449951,1759.050049,1458.410034,1717.72998,4269300,^KS11
2020-04-03,1670.339966,1762.439941,1659.949951,1725.439941,4815300,^KS11
2020-04-10,1745.25,1861.099976,1742.670044,1860.699951,4991400,^KS11
2020-04-17,1853.300049,1926.02002,1825.76001,1914.530029,4450400,^KS11
2020-04-24,1908.339966,1925.25,1841.660034,1889.01001,4699800,^KS11
2020-05-01,1897.060059,1957.51001,1894.619995,1947.560059,3893400,^KS11
2020-05-08,1906.420044,1956.890015,1894.290039,1945.819946,3789300,^KS11
2020-05-15,1953.51001,1960.459961,1897.23999,1927.280029,3636800,^KS11
2020-05-22,1934.51001,2004.949951,1921.140015,1970.130005,3682900,^KS11
2020-05-29,1980.51001,2054.52002,1967.839966,2029.599976,5096400,^KS11
2020-06-05,2037.040039,2191.0,2035.630005,2181.870117,5397500,^KS11
2020-06-12,2215.600098,2217.209961,2084.629883,2132.300049,3894700,^KS11
2020-06-19,2114.409912,2154.370117,2030.819946,2141.320068,4818500,^KS11
2020-06-26,2126.379883,2171.860107,2110.51001,2134.649902,4399600,^KS11
2020-07-03,2105.540039,2153.540039,2087.840088,2152.409912,4330100,^KS11
2020-07-10,2158.949951,2206.790039,2140.290039,2150.25,3698500,^KS11
2020-07-17,2170.51001,2216.969971,2163.070068,2201.189941,3645400,^KS11
2020-07-24,2209.590088,2238.860107,2183.830078,2200.439941,4396900,^KS11
2020-07-31,2203.47998,2281.409912,2203.47998,2249.370117,4147200,^KS11
2020-08-07,2251.649902,2362.23999,2237.040039,2351.669922,3822100,^KS11
2020-08-14,2353.919922,2458.169922,2349.330078,2407.48999,4256000,^KS11
2020-08-21,2405.840088,2419.649902,2270.850098,2304.590088,3317200,^KS11
2020-08-28,2309.379883,2379.26001,2283.47998,2353.800049,4588400,^KS11
2020-09-04,2377.090088,2401.780029,2326.060059,2368.25,6494800,^KS11
2020-09-11,2369.850098,2407.560059,2362.419922,2396.689941,5070500,^KS11
2020-09-18,2418.330078,2450.530029,2396.330078,2412.399902,4196200,^KS11
2020-09-25,2412.439941,2427.169922,2267.629883,2278.790039,4240900,^KS11
2020-10-02,2301.159912,2339.830078,2291.320068,2327.889893,1252200,^KS11
2020-10-09,2330.550049,2409.01001,2327.830078,2391.959961,3322900,^KS11
2020-10-16,2404.179932,2418.889893,2325.030029,2341.530029,4555400,^KS11
2020-10-23,2352.919922,2371.73999,2322.060059,2360.810059,4315900,^KS11
2020-10-30,2366.5,2374.5,2266.929932,2267.149902,3499100,^KS11
2020-11-06,2276.610107,2431.110107,2267.949951,2416.5,4080300,^KS11
2020-11-13,2438.629883,2495.77002,2434.52002,2493.870117,6441600,^KS11
2020-11-20,2507.459961,2558.209961,2507.459961,2553.5,5534400,^KS11
2020-11-27,2560.040039,2642.26001,2553.699951,2633.449951,7006900,^KS11
2020-12-04,2648.050049,2742.77002,2591.340088,2731.449951,6134300,^KS11
2020-12-11,2738.110107,2781.040039,2700.919922,2770.060059,6608800,^KS11
2020-12-18,2769.429932,2782.790039,2735.080078,2772.179932,5446700,^KS11
2020-12-25,2771.97998,2812.159912,2716.280029,2806.860107,4552500,^KS11
2021-01-01,2820.949951,2878.209961,2792.060059,2873.469971,3127000,^KS11
2021-01-08,2874.5,3161.110107,2869.110107,3152.179932,7162400,^KS11
2021-01-15,3161.899902,3266.22998,3047.560059,3085.899902,7243400,^KS11
2021-01-22,3079.899902,3185.26001,3003.889893,3140.629883,6489300,^KS11
2021-01-29,3144.01001,3212.219971,2962.699951,2976.209961,5196900,^KS11
2021-02-05,2976.810059,3142.26001,2947.23999,3120.629883,5412800,^KS11
2021-02-12,3113.629883,3129.659912,3064.25,3100.580078,5575500,^KS11
2021-02-19,3108.699951,3180.939941,3040.280029,3107.620117,10649300,^KS11
2021-02-26,3114.030029,3142.47998,2988.280029,3012.949951,8392100,^KS11
2021-03-05,3021.679932,3096.5,2982.449951,3026.26001,6452800,^KS11
2021-03-12,3031.98999,3061.429932,2929.360107,3054.389893,7386400,^KS11
2021-03-19,3057.060059,3090.189941,3022.48999,3039.530029,5401800,^KS11
2021-03-26,3040.01001,3058.790039,2971.040039,3041.01001,5202100,^KS11
2021-04-02,3047.709961,3121.580078,3025.389893,3112.800049,5174300,^KS11
2021-04-09,3121.22998,3156.040039,3101.860107,3131.879883,7529100,^KS11
2021-04-16,3134.879883,3206.76001,3127.909912,3198.620117,6864700,^KS11
2021-04-23,3201.110107,3220.820068,3146.540039,3181.080078,7706000,^KS11
2021-04-30,3191.340088,3223.050049,3143.379883,3147.860107,6825700,^KS11
2021-05-07,3149.050049,3205.110107,3109.780029,3197.199951,4550700,^KS11
2021-05-14,3201.459961,3255.899902,3103.879883,3153.320068,5459600,^KS11
2021-05-21,3163.209961,3198.01001,3121.320068,3156.419922,3126500,^KS11
2021-05-28,3155.909912,3198.659912,3137.810059,3188.72998,4516300,^KS11
2021-06-04,3192.060059,3258.5,3179.870117,3240.080078,7065900,^KS11
2021-06-11,3244.590088,3264.669922,3210.310059,3249.320068,9187000,^KS11
2021-06-18,3249.600098,3281.959961,3238.51001,3267.929932,9217600,^KS11
2021-06-25,3264.179932,3316.080078,3225.560059,3302.840088,6740600,^KS11
