Date,Close,High,Low,Open,Volume
21-01-2020,29196.03906,29341.21094,29146.4707,29269.05078,320640000
22-01-2020,29186.26953,29320.19922,29172.25977,29263.63086,283440000
23-01-2020,29160.08984,29190.4707,28966.98047,29111.01953,307060000
24-01-2020,28989.73047,29288.78906,28843.31055,29230.39063,380010000
27-01-2020,28535.80078,28671.78906,28440.4707,28542.49023,337270000
28-01-2020,28722.84961,28823.23047,28575.75,28594.2793,330140000
29-01-2020,28734.44922,28944.24023,28728.18945,28820.5293,302290000
30-01-2020,28859.43945,28879.71094,28489.75977,28640.16016,326850000
31-01-2020,28256.0293,28813.03906,28169.5293,28813.03906,403890000
03-02-2020,28399.81055,28630.39063,28319.65039,28319.65039,307910000
04-02-2020,28807.63086,28904.88086,28696.74023,28696.74023,332750000
05-02-2020,29290.84961,29308.89063,29000.84961,29048.73047,357540000
06-02-2020,29379.76953,29408.05078,29246.92969,29388.58008,263700000
07-02-2020,29102.50977,29286.91992,29056.98047,29286.91992,252860000
10-02-2020,29276.82031,29278.07031,28995.66016,28995.66016,250510000
11-02-2020,29276.33984,29415.39063,29210.4707,29390.71094,279540000
12-02-2020,29551.41992,29568.57031,29406.75,29406.75,309530000
13-02-2020,29423.31055,29535.40039,29345.92969,29436.0293,291150000
14-02-2020,29398.08008,29463.03906,29283.17969,29440.4707,231000000
18-02-2020,29232.18945,29330.16016,29116.81055,29282.7793,256600000
19-02-2020,29348.0293,29409.08984,29274.38086,29312.69922,240640000
20-02-2020,29219.98047,29368.44922,28959.65039,29296.25,287780000
21-02-2020,28992.41016,29146.5293,28892.69922,29146.5293,311210000
24-02-2020,27960.80078,28402.92969,27912.43945,28402.92969,452580000
25-02-2020,27081.35938,28149.19922,26997.61914,28037.65039,513270000
26-02-2020,26957.58984,27542.7793,26890.9707,27159.46094,472450000
27-02-2020,25766.64063,26775.31055,25752.82031,26526,664980000
28-02-2020,25409.35938,25494.24023,24681.00977,25270.83008,915990000
02-03-2020,26703.32031,26706.16992,25391.96094,25590.50977,637200000
03-03-2020,25917.41016,27084.58984,25706.2793,26762.4707,647080000
04-03-2020,27090.85938,27102.33984,26286.31055,26383.67969,457590000
05-03-2020,26121.2793,26671.91992,25943.33008,26671.91992,477370000
06-03-2020,25864.7793,25994.38086,25226.61914,25457.21094,599780000
09-03-2020,23851.01953,24992.35938,23706.07031,24992.35938,750430000
10-03-2020,25018.16016,25020.99023,23690.33984,24453,654860000
11-03-2020,23553.2207,24604.63086,23328.32031,24604.63086,663960000
12-03-2020,21200.61914,22837.94922,21154.46094,22184.71094,908260000
13-03-2020,23185.61914,23189.75977,21285.36914,21973.82031,843080000
16-03-2020,20188.51953,21768.2793,20116.46094,20917.5293,770130000
17-03-2020,21237.38086,21379.34961,19882.25977,20487.05078,793060000
18-03-2020,19898.91992,20489.33008,18917.46094,20188.68945,871360000
19-03-2020,20087.18945,20442.63086,19177.13086,19830.00977,780300000
20-03-2020,19173.98047,20531.25977,19094.26953,20253.15039,872290000
23-03-2020,18591.92969,19121.00977,18213.65039,19028.35938,787970000
24-03-2020,20704.91016,20737.69922,19649.25,19722.18945,799340000
25-03-2020,21200.55078,22019.92969,20538.33984,21050.33984,796320000
26-03-2020,22552.16992,22595.06055,21427.09961,21468.38086,705180000
27-03-2020,21636.7793,22327.57031,21469.26953,21898.4707,588830000
30-03-2020,22327.48047,22378.08984,21522.08008,21678.2207,545540000
31-03-2020,21917.16016,22480.36914,21852.08008,22208.41992,571210000
01-04-2020,20943.50977,21487.24023,20784.42969,21227.38086,506680000
02-04-2020,21413.43945,21477.76953,20735.01953,20819.46094,529540000
03-04-2020,21052.5293,21447.81055,20863.08984,21285.92969,450010000
06-04-2020,22679.99023,22783.44922,21693.63086,21693.63086,610760000
07-04-2020,22653.85938,23617.24023,22634.44922,23537.43945,594660000
08-04-2020,23433.57031,23513.40039,22682.99023,22893.4707,472740000
09-04-2020,23719.36914,24008.99023,23504.08984,23690.66016,566400000
13-04-2020,23390.76953,23698.92969,23095.34961,23698.92969,394320000
14-04-2020,23949.75977,24040.58008,23683.43945,23690.57031,485910000
15-04-2020,23504.34961,23649.7207,23233.32031,23600.7207,437630000
16-04-2020,23537.67969,23598.08008,23211.38086,23543.66016,471050000
17-04-2020,24242.49023,24264.21094,23817.15039,23817.15039,525950000
20-04-2020,23650.43945,24108.68945,23627.18945,24095.09961,423410000
21-04-2020,23018.88086,23365.25,22941.88086,23365.25,485140000
22-04-2020,23475.82031,23613.09961,23339.59961,23437.33984,352880000
23-04-2020,23515.25977,23885.35938,23483.34961,23543.08984,389290000
24-04-2020,23775.26953,23826,23417.67969,23628.24023,376020000
27-04-2020,24133.7793,24207.65039,23840.60938,23866.15039,389390000
28-04-2020,24101.55078,24512.24023,24031.19922,24357.16992,400250000
29-04-2020,24633.85938,24764.76953,24453.99023,24490.36914,455290000
30-04-2020,24345.7207,24585.57031,24186.90039,24585.57031,487840000
01-05-2020,23723.68945,24120.7793,23645.30078,24120.7793,418160000
04-05-2020,23749.75977,23769.56055,23361.16016,23581.55078,355360000
05-05-2020,23883.08984,24169.7207,23868.91016,23958.88086,369710000
06-05-2020,23664.64063,24054.58984,23661.14063,23978.88086,377450000
07-05-2020,23875.89063,24094.61914,23834.39063,23837.21094,369890000
08-05-2020,24331.32031,24349.90039,24107.05078,24107.82031,335760000
11-05-2020,24221.99023,24366.21094,24070.2207,24256.44922,352400000
12-05-2020,23764.7793,24382.08984,23761.58008,24292.83984,359480000
13-05-2020,23247.9707,23708.90039,23067.64063,23702.16016,469950000
14-05-2020,23625.33984,23630.85938,22789.61914,23049.06055,472700000
15-05-2020,23685.41992,23730.08008,23354.15039,23454.83008,491510000
18-05-2020,24597.36914,24708.53906,24059.98047,24059.98047,484190000
19-05-2020,24206.85938,24599.5,24202.96094,24577.48047,374100000
20-05-2020,24575.90039,24649.48047,24455.93945,24455.93945,366510000
21-05-2020,24474.11914,24718.46094,24370.88086,24564.26953,346770000
22-05-2020,24465.16016,24481.64063,24294.07031,24461.98047,255660000
26-05-2020,24995.10938,25176.41992,24781.83984,24781.83984,424380000
27-05-2020,25548.26953,25551.56055,25009.86914,25298.63086,411230000
28-05-2020,25400.64063,25758.78906,25358.73047,25697.35938,377800000
29-05-2020,25383.10938,25482.80078,25031.66992,25324.15039,527620000
01-06-2020,25475.01953,25508.83008,25220.66016,25342.99023,338310000
02-06-2020,25742.65039,25743.13086,25523.74023,25582.51953,352610000
03-06-2020,26269.89063,26337.75,25906.88086,25906.88086,398790000
04-06-2020,26281.82031,26384.09961,26082.31055,26226.49023,372190000
05-06-2020,27110.98047,27338.30078,26836.80078,26836.80078,542310000
08-06-2020,27572.43945,27580.21094,27232.48047,27232.92969,430200000
09-06-2020,27272.30078,27447.36914,27151.06055,27447.36914,381430000
10-06-2020,26989.99023,27355.2207,26938.05078,27251.89063,448930000
11-06-2020,25128.16992,26294.08008,25082.7207,26282.50977,647780000
12-06-2020,25605.53906,25965.55078,25078.41016,25659.41992,514440000
15-06-2020,25763.16016,25891.58008,24843.17969,25270.39063,461230000
16-06-2020,26289.98047,26611.0293,25811.69922,26326.67969,489500000
17-06-2020,26119.60938,26400.07031,26068.41016,26330.51953,328830000
18-06-2020,26080.09961,26154.19922,25848.5293,26016.44922,328390000
19-06-2020,25871.46094,26451.43945,25759.66016,26213.09961,669390000
22-06-2020,26024.96094,26059.81055,25667.67969,25865.08008,351780000
23-06-2020,26156.09961,26314.9707,26105.9707,26159.39063,389980000
24-06-2020,25445.93945,25992.96094,25296.73047,25992.96094,450120000
25-06-2020,25745.59961,25769.60938,25209.78906,25365.2207,384560000
26-06-2020,25015.55078,25641.68945,24971.0293,25641.68945,640860000
29-06-2020,25595.80078,25601.15039,25096.16016,25152.44922,378070000
